Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;;;;;;
thunder;lightning;0,588235294;0,978170492;;;;;;;;;;
tom;jerry;0,6;0,876838878;;;;;;;;;;
trinidad;tobago;0,833333333;1,171449259;;;;;;;;;;
tristan;isolde;0,9;1,053755991;;;;;;;;;;
tweedledum;tweedledee;;0,872217372;;;;;;;;;;
ulna;radius;0,111111111;1,068659365;;;;;;;;;;
up;down;0,25;1,0979487;;;;;;;;;;
venus;mars;0,888888889;1,151847944;;;;;;;;;;
war;peace;0,307692308;0,991615702;;;;;;;;;;
watson;crick;0,133333333;0,935910188;;;;;;;;;;
xylem;phloem;0,888888889;0,9985941;;;;;;;;;;
yin;yang;0,888888889;0,948642269;;;;;;;;;;
young;old;0,142857143;1,111670598;;;;;;;;;;
zeroes;ones;0,461538462;1,151174068;;;;;;;;;;
