Column1;Column2;Column3;Column4;Column5;Column6;;;;;
secure;30;insecure;3;27;0,598724782;;;;;
visible;34;invisible;7;27;0,408146858;;;;;
inside;162;outside;190;28;0,214443445;;;;;
merry;6;sad;34;28;0,585890532;;;;;
definite;36;indefinite;7;29;0,568199068;;;;;
accurate;35;inaccurate;5;30;0,377273917;;;;;
courage;32;cowardice;2;30;0,463999152;;;;;
loss;85;win;55;30;0,503397554;;;;;
powerful;62;weak;32;30;0,536223769;;;;;
satisfactory;38;unsatisfactory;8;30;0,290843666;;;;;
sorrow;9;joy;40;31;0,401107132;;;;;
calm;34;windy;2;32;0,618806928;;;;;
diseased;1;healthy;33;32;0,62257272;;;;;
healthy;33;diseased;1;32;0,62257272;;;;;
humble;18;proud;50;32;0,477857709;;;;;
attractive;39;repulsive;4;35;0,618353814;;;;;
fat;57;thin;92;35;0,538149416;;;;;
immense;14;tiny;49;35;0,629380703;;;;;
comfort;43;discomfort;7;36;0,577386558;;;;;
discourage;9;encourage;45;36;0,25892812;;;;;
encourage;45;discourage;9;36;0,25892812;;;;;
wisdom;42;folly;6;36;0,594331533;;;;;
build;85;destroy;48;37;0,511539787;;;;;
minority;20;majority;57;37;0,28137368;;;;;
exterior;8;interior;46;38;0,175076187;;;;;
friend;125;enemy;87;38;0,617717296;;;;;
interior;46;exterior;8;38;0,175076187;;;;;
accept;71;decline;31;40;0,579140872;;;;;
decline;31;accept;71;40;0,579140872;;;;;
bound;42;unbound;1;41;0,547455192;;;;;
useful;58;useless;17;41;0,408901036;;;;;
famous;89;unknown;47;42;0,622382134;;;;;
hero;46;coward;4;42;0,660897136;;;;;
honest;45;dishonest;3;42;0,477655053;;;;;
cold;161;hot;118;43;0,38410604;;;;;
hot;118;cold;161;43;0,38410604;;;;;
agree;51;disagree;7;44;0,179191589;;;;;
contract;59;expand;13;46;0,597772777;;;;;
expand;13;contract;59;46;0,597772777;;;;;
tame;5;wild;51;46;0,496724069;;;;;
correct;51;incorrect;4;47;0,22810638;;;;;
slim;10;fat;57;47;0,514653385;;;;;
dull;27;bright;77;50;0,456730962;;;;;
heaven;23;hell;74;51;0,325352311;;;;;
careful;60;careless;7;53;0,51415363;;;;;
capable;64;incapable;10;54;0,355547905;;;;;
interesting;81;dull;27;54;0,613153636;;;;;
pure;54;impure;0;54;0,609454185;;;;;
dry;66;moist;11;55;0,404807389;;;;;
loud;19;quiet;74;55;0,439522862;;;;;
quiet;74;loud;19;55;0,439522862;;;;;
mad;35;happy;91;56;0,457493007;;;;;
happy;91;sad;34;57;0,356409073;;;;;
safe;58;unsafe;1;57;0,469978631;;;;;
unsafe;1;safe;58;57;0,469978631;;;;;
bright;77;dim;19;58;0,521809548;;;;;
dim;19;bright;77;58;0,521809548;;;;;
grow;63;shrink;5;58;0,61874494;;;;;
shrink;5;grow;63;58;0,61874494;;;;;
justice;75;injustice;16;59;0,463528872;;;;;
combine;14;separate;76;62;0,475327849;;;;;
narrow;61;wide;123;62;0,379367888;;;;;
wide;123;narrow;61;62;0,379367888;;;;;
offer;79;refuse;16;63;0,535641402;;;;;
simple;155;complex;90;65;0,472010136;;;;;
leader;69;follower;3;66;0,713587046;;;;;
sour;2;sweet;68;66;0,420361638;;;;;
sweet;68;sour;2;66;0,420361638;;;;;
raise;51;lower;118;67;0,453052282;;;;;
forget;52;remember;120;68;0,143267334;;;;;
noisy;6;quiet;74;68;0,413525999;;;;;
advantage;73;disadvantage;4;69;0,387036443;;;;;
poetry;82;prose;13;69;0,278130531;;;;;
regular;79;irregular;9;70;0,600328356;;;;;
enter;78;exit;7;71;0,485085487;;;;;
fresh;76;stale;4;72;0,555301011;;;;;
patient;86;impatient;10;76;0,705986232;;;;;
second;341;hand;418;77;0,474613845;;;;;
ally;9;enemy;87;78;0,527629614;;;;;
easy;121;hard;199;78;0,421516776;;;;;
pretty;99;ugly;21;78;0,396417201;;;;;
bent;34;straight;113;79;0,484183848;;;;;
tough;35;easy;121;86;0,425053298;;;;;
deep;101;shallow;14;87;0,369545102;;;;;
shallow;14;deep;101;87;0,369545102;;;;;
past;277;present;370;93;0,377968073;;;;;
backward;21;forward;115;94;0,48562634;;;;;
black;156;white;254;98;0,153828919;;;;;
white;254;black;156;98;0,153828919;;;;;
boundless;2;limited;102;100;0,779153004;;;;;
limited;102;boundless;2;100;0,779153004;;;;;
answer;149;question;250;101;0,170420825;;;;;
beautiful;122;ugly;21;101;0,517261833;;;;;
question;250;answer;149;101;0,170420825;;;;;
closed;104;ajar;2;102;0,743084013;;;;;
serious;113;trivial;11;102;0,558205396;;;;;
start;140;finish;37;103;0,443852961;;;;;
include;111;exclude;7;104;0,516307473;;;;;
appear;117;disappear;11;106;0,368571997;;;;;
disappear;11;appear;117;106;0,368571997;;;;;
alive;57;dead;166;109;0,295329928;;;;;
dead;166;alive;57;109;0,295329928;;;;;
crooked;2;straight;113;111;0,610855639;;;;;
straight;113;crooked;2;111;0,610855639;;;;;
vanish;5;appear;117;112;0,600910634;;;;;
ancient;63;modern;180;117;0,445688009;;;;;
bottom;80;top;199;119;0,298385143;;;;;
top;199;bottom;80;119;0,298385143;;;;;
truth;124;falsehood;2;122;0,480601847;;;;;
before;948;after;823;125;0,094117045;;;;;
left;471;right;597;126;0,238479257;;;;;
knowledge;143;ignorance;14;129;0,494242072;;;;;
likely;151;unlikely;21;130;0,21068722;;;;;
within;321;outside;190;131;0,310683191;;;;;
artificial;17;natural;152;135;0,473951995;;;;;
misunderstand;1;understand;137;136;0,529736102;;;;;
hard;199;soft;61;138;0,442340076;;;;;
soft;61;hard;199;138;0,442340076;;;;;
below;132;above;275;143;0,105148196;;;;;
despair;21;hope;164;143;0,554060072;;;;;
dark;170;light;320;150;0,335094213;;;;;
light;320;dark;170;150;0,335094213;;;;;
tall;53;short;206;153;0,523121327;;;;;
early;333;late;174;159;0,145181835;;;;;
empty;64;full;225;161;0,518803895;;;;;
full;225;empty;64;161;0,518803895;;;;;
strong;194;weak;32;162;0,298768938;;;;;
weak;32;strong;194;162;0,298768938;;;;;
large;354;small;518;164;0,138469696;;;;;
common;208;rare;40;168;0,488412499;;;;;
rare;40;common;208;168;0,488412499;;;;;
hate;42;love;214;172;0,307216763;;;;;
love;214;hate;42;172;0,307216763;;;;;
peace;133;war;305;172;0,463968039;;;;;
war;305;peace;133;172;0,463968039;;;;;
major;227;minor;49;178;0,286416113;;;;;
minor;49;major;227;178;0,286416113;;;;;
close;230;far;409;179;0,312841356;;;;;
decrease;15;increase;194;179;0,124616504;;;;;
increase;194;decrease;15;179;0,124616504;;;;;
feeble;8;strong;194;186;0,644552737;;;;;
false;28;true;217;189;0,370868444;;;;;
true;217;false;28;189;0,370868444;;;;;
known;245;unknown;47;198;0,47111392;;;;;
take;577;give;379;198;0,175234735;;;;;
unknown;47;known;245;198;0,47111392;;;;;
free;243;bound;42;201;0,654241532;;;;;
open;305;closed;104;201;0,254912257;;;;;
old;568;young;359;209;0,427650869;;;;;
young;359;old;568;209;0,427650869;;;;;
apart;47;together;260;213;0,330285251;;;;;
heavy;107;light;320;213;0,439177871;;;;;
together;260;apart;47;213;0,330285251;;;;;
always;449;never;664;215;0,156608582;;;;;
never;664;always;449;215;0,156608582;;;;;
private;186;public;401;215;0,278385878;;;;;
clear;219;cloudy;2;217;0,556484699;;;;;
far;409;near;190;219;0,422078848;;;;;
near;190;far;409;219;0,422078848;;;;;
day;623;night;398;225;0,253626704;;;;;
night;398;day;623;225;0,253626704;;;;;
right;597;side;370;227;0,322594643;;;;;
captive;5;free;243;238;0,784625471;;;;;
real;251;fake;10;241;0,483685374;;;;;
tiny;49;big;316;267;0,404815912;;;;;
possible;373;impossible;82;291;0,339509487;;;;;
cruel;14;kind;310;296;0,530337751;;;;;
high;461;low;160;301;0,218666911;;;;;
low;160;high;461;301;0,218666911;;;;;
give;379;receive;76;303;0,335380375;;;;;
help;303;hinder;0;303;0,596952528;;;;;
hinder;0;help;303;303;0,596952528;;;;;
best;341;worst;33;308;0,351926744;;;;;
begin;82;end;400;318;0,370437086;;;;;
end;400;begin;82;318;0,370437086;;;;;
find;395;lose;58;337;0,460923314;;;;;
lose;58;find;395;337;0,460923314;;;;;
get;719;give;379;340;0,191716373;;;;;
absent;28;present;370;342;0,488384306;;;;;
few;583;many;925;342;0,144828558;;;;;
many;925;few;583;342;0,144828558;;;;;
better;402;worse;48;354;0,269578695;;;;;
important;365;trivial;11;354;0,56206277;;;;;
found;536;lost;173;363;0,403596699;;;;;
wrong;128;right;597;469;0,270689666;;;;;
big;316;little;788;472;0,321944177;;;;;
little;788;big;316;472;0,321944177;;;;;
new;1060;old;568;492;0,430189669;;;;;
go;605;stop;110;495;0,320289612;;;;;
stop;110;go;605;495;0,320289612;;;;;
long;713;short;206;507;0,17903018;;;;;
over;1206;under;648;558;0,334862828;;;;;
under;648;over;1206;558;0,334862828;;;;;
great;608;tiny;49;559;0,554344177;;;;;
opposite;78;same;679;601;0,403340101;;;;;
same;679;opposite;78;601;0,403340101;;;;;
first;1242;last;636;606;0,235011339;;;;;
last;636;first;1242;606;0,235011339;;;;;
bad;139;good;767;628;0,233276546;;;;;
good;767;bad;139;628;0,233276546;;;;;
just;751;unjust;3;748;0,812274188;;;;;
upside;8;down;888;880;0,476078331;;;;;
even;985;odd;44;941;0,431504428;;;;;
odd;44;even;985;941;0,431504428;;;;;
down;888;up;1874;986;0,131707191;;;;;
up;1874;down;888;986;0,131707191;;;;;
them;1786;us;670;1116;0,258078218;;;;;
us;670;them;1786;1116;0,258078218;;;;;
like;1237;dislike;14;1223;0,557389796;;;;;
here;607;there;1877;1270;0,197811902;;;;;
there;1877;here;607;1270;0,197811902;;;;;
none;92;some;1407;1315;0,398604751;;;;;
some;1407;none;92;1315;0,398604751;;;;;
can;1738;cannot;258;1480;0,201560736;;;;;
less;426;more;2130;1704;0,148286045;;;;;
more;2130;less;426;1704;0,148286045;;;;;
no;1781;yes;55;1726;0,305895805;;;;;
yes;55;no;1781;1726;0,305895805;;;;;
all;2726;none;92;2634;0,355281591;;;;;
haves;0;have;3892;3892;0,787927166;;;;;
on;6395;off;634;5761;0,354820967;;;;;
against;618;for;8841;8223;0,441388071;;;;;
for;8841;against;618;8223;0,441388071;;;;;
in;19536;out;2058;17478;0,333144009;;;;;
out;2058;in;19536;17478;0,333144009;;;;;
